MonthlyChargesGroup,ChurnRate,CustomerCount
<30,0.09836065573770492,1647
30-50,0.3080495356037152,646
50-70,0.2081174438687392,1158
70-90,0.3783930510314875,1842
90+,0.32777458309373203,1739
